tournament,date,home_team,away_team,market,line,over_odds,under_odds,book,is_closing,source_url
UEFA Euro,2024-06-14,germany,scotland,match_total,0.5,1.04,14.5,oddsportal_avg,True,https://www.oddsportal.com/football/europe/euro-2024/results/
UEFA Euro,2024-06-14,germany,scotland,match_total,1.5,1.2,5.0,oddsportal_avg,True,https://www.oddsportal.com/football/europe/euro-2024/results/
UEFA Euro,2024-06-14,germany,scotland,match_total,2.5,1.65,2.38,oddsportal_avg,True,https://www.oddsportal.com/football/europe/euro-2024/results/
UEFA Euro,2024-06-14,germany,scotland,match_total,3.5,2.6,1.55,oddsportal_avg,True,https://www.oddsportal.com/football/europe/euro-2024/results/
UEFA Euro,2024-06-14,germany,scotland,match_total,4.5,4.8,1.22,oddsportal_avg,True,https://www.oddsportal.com/football/europe/euro-2024/results/
UEFA Euro,2024-06-14,germany,scotland,match_total,5.5,9.9,1.09,oddsportal_avg,True,https://www.oddsportal.com/football/europe/euro-2024/results/
UEFA Euro,2024-06-15,hungary,switzerland,match_total,0.5,1.13,7.5,oddsportal_avg,True,https://www.oddsportal.com/football/europe/euro-2024/results/
UEFA Euro,2024-06-15,hungary,switzerland,match_total,1.5,1.55,2.9,oddsportal_avg,True,https://www.oddsportal.com/football/europe/euro-2024/results/
UEFA Euro,2024-06-15,hungary,switzerland,match_total,2.5,2.65,1.63,oddsportal_avg,True,https://www.oddsportal.com/football/europe/euro-2024/results/
UEFA Euro,2024-06-15,hungary,switzerland,match_total,3.5,5.3,1.22,oddsportal_avg,True,https://www.oddsportal.com/football/europe/euro-2024/results/
UEFA Euro,2024-06-15,hungary,switzerland,match_total,4.5,12.5,1.06,oddsportal_avg,True,https://www.oddsportal.com/football/europe/euro-2024/results/
UEFA Euro,2024-06-15,hungary,switzerland,match_total,5.5,31.0,1.02,oddsportal_avg,True,https://www.oddsportal.com/football/europe/euro-2024/results/
UEFA Euro,2024-06-15,spain,croatia,match_total,0.5,1.09,9.0,oddsportal_avg,True,https://www.oddsportal.com/football/europe/euro-2024/results/
UEFA Euro,2024-06-15,spain,croatia,match_total,1.5,1.38,3.3,oddsportal_avg,True,https://www.oddsportal.com/football/europe/euro-2024/results/
UEFA Euro,2024-06-15,spain,croatia,match_total,2.5,2.17,1.76,oddsportal_avg,True,https://www.oddsportal.com/football/europe/euro-2024/results/
UEFA Euro,2024-06-15,spain,croatia,match_total,3.5,4.0,1.29,oddsportal_avg,True,https://www.oddsportal.com/football/europe/euro-2024/results/
UEFA Euro,2024-06-15,spain,croatia,match_total,4.5,8.4,1.1,oddsportal_avg,True,https://www.oddsportal.com/football/europe/euro-2024/results/
UEFA Euro,2024-06-15,spain,croatia,match_total,5.5,19.5,1.03,oddsportal_avg,True,https://www.oddsportal.com/football/europe/euro-2024/results/
UEFA Euro,2024-06-15,italy,albania,match_total,0.5,1.08,10.0,oddsportal_avg,True,https://www.oddsportal.com/football/europe/euro-2024/results/
UEFA Euro,2024-06-15,italy,albania,match_total,1.5,1.37,3.4,oddsportal_avg,True,https://www.oddsportal.com/football/europe/euro-2024/results/
